transaction_date,transaction_type,cryptocurrency,amount,price_per_unit,total_value,fee_amount,fee_currency,currency,exchange_name,transaction_id,notes
2019-07-01T01:08:00+00:00,BUY,BTC,0.005409,8148.63,44.08,0.02,EUR,EUR,DEMO Beta,DB-0001,Monthly purchase
2019-07-08T16:53:24+00:00,BUY,BTC,0.011294,8181.51,92.4,0.04,EUR,EUR,DEMO Beta,DB-0002,Regular investment
2019-07-17T01:39:48+00:00,BUY,BTC,0.009291,7868.84,73.11,0.11,EUR,EUR,DEMO Beta,DB-0003,Dip buy
2019-07-24T07:19:12+00:00,BUY,BTC,0.007302,8057.2,58.83,0.04,EUR,EUR,DEMO Beta,DB-0004,Dip buy
2019-08-01T04:35:36+00:00,BUY,BTC,0.001683,8038.99,13.53,0.01,EUR,EUR,DEMO Beta,DB-0005,Dip buy
2019-08-08T20:21:00+00:00,BUY,BTC,0.008547,7530.38,64.36,0.09,EUR,EUR,DEMO Beta,DB-0006,Dip buy
2019-08-16T13:18:24+00:00,BUY,BTC,0.008026,7837.66,62.91,0.09,EUR,EUR,DEMO Beta,DB-0007,Dip buy
2019-08-23T17:51:48+00:00,BUY,BTC,0.00341,7687.12,26.21,0.01,EUR,EUR,DEMO Beta,DB-0008,Monthly purchase
2019-08-31T11:55:12+00:00,BUY,BTC,0.011877,7461.91,88.63,0.07,EUR,EUR,DEMO Beta,DB-0009,Portfolio rebalance
2019-09-07T14:21:36+00:00,BUY,BTC,0.009331,7601.34,70.93,0.09,EUR,EUR,DEMO Beta,DB-0010,Monthly purchase
2019-09-15T06:57:00+00:00,BUY,BTC,0.008484,7491.16,63.56,0.07,EUR,EUR,DEMO Beta,DB-0011,DCA strategy
2019-09-23T04:27:24+00:00,BUY,BTC,0.00681,7318.62,49.84,0.04,EUR,EUR,DEMO Beta,DB-0012,Portfolio rebalance
2019-09-30T18:21:48+00:00,BUY,BTC,0.010117,7016.91,70.99,0.1,EUR,EUR,DEMO Beta,DB-0013,Monthly purchase
2019-10-08T06:34:12+00:00,BUY,BTC,0.002648,7149.4,18.93,0.01,EUR,EUR,DEMO Beta,DB-0014,Portfolio rebalance
2019-10-15T15:58:36+00:00,BUY,BTC,0.008483,6995.34,59.34,0.07,EUR,EUR,DEMO Beta,DB-0015,Regular investment
2019-10-24T02:47:00+00:00,BUY,BTC,0.006614,6672.56,44.13,0.06,EUR,EUR,DEMO Beta,DB-0016,Regular investment
2019-10-31T09:47:24+00:00,BUY,BTC,0.00557,6641.81,36.99,0.04,EUR,EUR,DEMO Beta,DB-0017,Portfolio rebalance
2019-11-07T21:50:48+00:00,BUY,BTC,0.009876,6808.36,67.24,0.08,EUR,EUR,DEMO Beta,DB-0018,Regular investment
2019-11-15T16:38:12+00:00,BUY,BTC,0.001033,6597.66,6.82,0.0,EUR,EUR,DEMO Beta,DB-0019,DCA strategy
2019-11-22T22:58:36+00:00,BUY,BTC,0.00479,6397.44,30.64,0.01,EUR,EUR,DEMO Beta,DB-0020,DCA strategy
2019-11-30T13:33:00+00:00,BUY,BTC,0.001759,6920.08,12.17,0.02,EUR,EUR,DEMO Beta,DB-0021,DCA strategy
2019-12-08T09:39:24+00:00,BUY,BTC,0.00298,6361.61,18.96,0.01,EUR,EUR,DEMO Beta,DB-0022,Regular investment
2019-12-16T05:22:48+00:00,BUY,BTC,0.010805,6418.4,69.35,0.06,EUR,EUR,DEMO Beta,DB-0023,Regular investment
2019-12-23T23:41:12+00:00,BUY,BTC,0.00851,6419.17,54.63,0.06,EUR,EUR,DEMO Beta,DB-0024,Portfolio rebalance
2019-12-31T06:33:36+00:00,BUY,BTC,0.010463,6261.44,65.51,0.03,EUR,EUR,DEMO Beta,DB-0025,Portfolio rebalance
2020-01-07T09:08:00+00:00,BUY,BTC,0.002401,7419.79,17.81,0.03,EUR,EUR,DEMO Beta,DB-0026,DCA strategy
2020-01-14T23:06:24+00:00,BUY,BTC,0.011763,7692.13,90.48,0.08,EUR,EUR,DEMO Beta,DB-0027,Portfolio rebalance
2020-01-22T17:13:48+00:00,BUY,BTC,0.005172,7443.1,38.5,0.03,EUR,EUR,DEMO Beta,DB-0028,Regular investment
2020-01-31T00:23:12+00:00,BUY,BTC,0.004032,7384.62,29.77,0.04,EUR,EUR,DEMO Beta,DB-0029,DCA strategy
2020-02-06T19:24:36+00:00,BUY,BTC,0.008262,6345.28,52.42,0.06,EUR,EUR,DEMO Beta,DB-0030,DCA strategy
2020-02-15T05:06:00+00:00,BUY,BTC,0.00174,6147.98,10.7,0.01,EUR,EUR,DEMO Beta,DB-0031,Regular investment
2020-02-22T08:32:24+00:00,BUY,BTC,0.008736,6102.43,53.31,0.02,EUR,EUR,DEMO Beta,DB-0032,DCA strategy
2020-03-01T00:13:48+00:00,BUY,BTC,0.003578,5149.18,18.42,0.01,EUR,EUR,DEMO Beta,DB-0033,DCA strategy
2020-03-08T05:42:12+00:00,BUY,BTC,0.011928,5012.87,59.79,0.04,EUR,EUR,DEMO Beta,DB-0034,Portfolio rebalance
2020-03-16T11:03:36+00:00,BUY,BTC,0.007577,5105.83,38.69,0.04,EUR,EUR,DEMO Beta,DB-0035,Dip buy
2020-03-23T18:18:00+00:00,BUY,BTC,0.010639,5063.19,53.87,0.08,EUR,EUR,DEMO Beta,DB-0036,Portfolio rebalance
2020-03-31T04:47:24+00:00,BUY,BTC,0.004306,5054.94,21.77,0.01,EUR,EUR,DEMO Beta,DB-0037,Portfolio rebalance
2020-04-08T12:39:48+00:00,BUY,BTC,0.011027,6263.93,69.07,0.08,EUR,EUR,DEMO Beta,DB-0038,Regular investment
2020-04-16T02:59:12+00:00,BUY,BTC,0.001516,6348.3,9.62,0.01,EUR,EUR,DEMO Beta,DB-0039,Regular investment
