transaction_date,transaction_type,cryptocurrency,amount,price_per_unit,total_value,fee_amount,fee_currency,currency,exchange_name,transaction_id,notes
2023-01-10T00:20:00+00:00,SELL,BTC,0.024579,20464.63,503.0,0.74,EUR,EUR,DEMO Gamma,DG-0001,Profit taking
2023-01-13T07:03:36+00:00,SELL,BTC,0.009005,18619.06,167.66,0.2,EUR,EUR,DEMO Gamma,DG-0002,Profit taking
2023-01-16T00:16:12+00:00,SELL,BTC,0.01923,19592.2,376.76,0.27,EUR,EUR,DEMO Gamma,DG-0003,Profit taking
2023-01-19T02:48:48+00:00,SELL,BTC,0.02457,19112.18,469.59,0.7,EUR,EUR,DEMO Gamma,DG-0004,Tax-loss harvest
2023-01-22T08:00:24+00:00,SELL,BTC,0.025684,19739.46,506.99,0.57,EUR,EUR,DEMO Gamma,DG-0005,Profit taking
2023-01-25T17:52:00+00:00,SELL,BTC,0.023317,19522.59,455.21,0.42,EUR,EUR,DEMO Gamma,DG-0006,Profit taking
2023-01-28T11:42:36+00:00,SELL,BTC,0.023069,19495.59,449.74,0.75,EUR,EUR,DEMO Gamma,DG-0007,Scheduled sell
2023-01-30T19:04:12+00:00,SELL,BTC,0.015909,20422.58,324.9,0.36,EUR,EUR,DEMO Gamma,DG-0008,Partial exit
2023-02-03T11:19:48+00:00,SELL,BTC,0.019856,20291.45,402.91,0.33,EUR,EUR,DEMO Gamma,DG-0009,Portfolio rebalance
2023-02-06T06:23:24+00:00,SELL,BTC,0.005781,21185.78,122.47,0.18,EUR,EUR,DEMO Gamma,DG-0010,Profit taking
2023-02-08T14:03:00+00:00,SELL,BTC,0.02478,22465.99,556.71,0.4,EUR,EUR,DEMO Gamma,DG-0011,Profit taking
2023-02-12T08:43:36+00:00,SELL,BTC,0.007843,22728.21,178.26,0.28,EUR,EUR,DEMO Gamma,DG-0012,Tax-loss harvest
2023-02-15T07:27:12+00:00,SELL,BTC,0.018727,22713.0,425.35,0.84,EUR,EUR,DEMO Gamma,DG-0013,Tax-loss harvest
2023-02-17T23:38:48+00:00,SELL,BTC,0.008549,22495.62,192.32,0.15,EUR,EUR,DEMO Gamma,DG-0014,Profit taking
2023-02-20T10:32:24+00:00,SELL,BTC,0.015974,23661.03,377.96,0.57,EUR,EUR,DEMO Gamma,DG-0015,Portfolio rebalance
2023-02-23T18:37:00+00:00,SELL,BTC,0.008412,23687.47,199.26,0.33,EUR,EUR,DEMO Gamma,DG-0016,Profit taking
2023-02-26T13:47:36+00:00,SELL,BTC,0.009649,22267.14,214.86,0.32,EUR,EUR,DEMO Gamma,DG-0017,Tax-loss harvest
2023-03-02T04:54:12+00:00,SELL,BTC,0.018184,24643.82,448.12,0.64,EUR,EUR,DEMO Gamma,DG-0018,Profit taking
2023-03-05T05:15:48+00:00,SELL,BTC,0.015476,24681.56,381.97,0.26,EUR,EUR,DEMO Gamma,DG-0019,Portfolio rebalance
2023-03-08T03:48:24+00:00,SELL,BTC,0.013454,26155.77,351.9,0.38,EUR,EUR,DEMO Gamma,DG-0020,Portfolio rebalance
2023-03-10T11:54:00+00:00,SELL,BTC,0.024205,25749.75,623.27,1.06,EUR,EUR,DEMO Gamma,DG-0021,Profit taking
2023-03-13T11:28:36+00:00,SELL,BTC,0.026416,24081.28,636.13,1.25,EUR,EUR,DEMO Gamma,DG-0022,Partial exit
2023-03-16T08:13:12+00:00,SELL,BTC,0.031686,24009.28,760.76,0.93,EUR,EUR,DEMO Gamma,DG-0023,Scheduled sell
2023-03-19T01:29:48+00:00,SELL,BTC,0.010872,25445.98,276.65,0.3,EUR,EUR,DEMO Gamma,DG-0024,Tax-loss harvest
2023-03-22T17:37:24+00:00,SELL,BTC,0.030299,25278.4,765.91,1.39,EUR,EUR,DEMO Gamma,DG-0025,Partial exit
2023-03-25T13:09:00+00:00,SELL,BTC,0.019622,24957.7,489.72,0.9,EUR,EUR,DEMO Gamma,DG-0026,Portfolio rebalance
2023-03-27T22:20:36+00:00,SELL,BTC,0.013163,23864.93,314.13,0.31,EUR,EUR,DEMO Gamma,DG-0027,Scheduled sell
2023-03-30T20:22:12+00:00,SELL,BTC,0.022146,25668.82,568.46,0.77,EUR,EUR,DEMO Gamma,DG-0028,Tax-loss harvest
2023-04-02T21:10:48+00:00,SELL,BTC,0.025328,25439.8,644.34,0.92,EUR,EUR,DEMO Gamma,DG-0029,Portfolio rebalance
2023-04-06T15:30:24+00:00,SELL,BTC,0.012791,25890.28,331.16,0.34,EUR,EUR,DEMO Gamma,DG-0030,Portfolio rebalance
2023-04-09T12:18:00+00:00,SELL,BTC,0.029269,24646.02,721.36,1.33,EUR,EUR,DEMO Gamma,DG-0031,Scheduled sell
2023-04-11T21:51:36+00:00,SELL,BTC,0.024049,24447.23,587.93,0.43,EUR,EUR,DEMO Gamma,DG-0032,Portfolio rebalance
2023-04-14T14:56:12+00:00,SELL,BTC,0.030494,26554.8,809.76,0.5,EUR,EUR,DEMO Gamma,DG-0033,Portfolio rebalance
2023-04-17T19:20:48+00:00,SELL,BTC,0.015138,25256.11,382.33,0.35,EUR,EUR,DEMO Gamma,DG-0034,Scheduled sell
2023-04-20T21:43:24+00:00,SELL,BTC,0.024047,25067.67,602.8,0.67,EUR,EUR,DEMO Gamma,DG-0035,Partial exit
2023-04-24T03:30:00+00:00,SELL,BTC,0.018369,24780.02,455.18,0.62,EUR,EUR,DEMO Gamma,DG-0036,Profit taking
2023-04-26T13:52:36+00:00,SELL,BTC,0.018451,26837.07,495.17,0.34,EUR,EUR,DEMO Gamma,DG-0037,Portfolio rebalance
2023-04-29T22:01:12+00:00,SELL,BTC,0.00621,26615.35,165.28,0.18,EUR,EUR,DEMO Gamma,DG-0038,Profit taking
2023-05-03T00:25:48+00:00,SELL,BTC,0.005708,26214.13,149.63,0.1,EUR,EUR,DEMO Gamma,DG-0039,Scheduled sell
2023-05-06T04:42:24+00:00,SELL,BTC,0.023882,27340.72,652.95,1.2,EUR,EUR,DEMO Gamma,DG-0040,Scheduled sell
2023-05-08T09:05:00+00:00,SELL,BTC,0.02485,25406.63,631.35,1.22,EUR,EUR,DEMO Gamma,DG-0041,Tax-loss harvest
2023-05-11T22:45:36+00:00,SELL,BTC,0.028988,27092.72,785.36,1.39,EUR,EUR,DEMO Gamma,DG-0042,Tax-loss harvest
2023-05-14T09:42:12+00:00,SELL,BTC,0.023375,26462.57,618.56,0.75,EUR,EUR,DEMO Gamma,DG-0043,Tax-loss harvest
2023-05-17T15:39:48+00:00,SELL,BTC,0.008954,26938.92,241.21,0.4,EUR,EUR,DEMO Gamma,DG-0044,Partial exit
2023-05-20T07:42:24+00:00,SELL,BTC,0.01583,25118.85,397.63,0.58,EUR,EUR,DEMO Gamma,DG-0045,Tax-loss harvest
2023-05-23T02:28:00+00:00,SELL,BTC,0.016364,26626.38,435.71,0.29,EUR,EUR,DEMO Gamma,DG-0046,Partial exit
2023-05-26T14:38:36+00:00,SELL,BTC,0.029138,26545.09,773.47,1.25,EUR,EUR,DEMO Gamma,DG-0047,Portfolio rebalance
2023-05-29T07:21:12+00:00,SELL,BTC,0.023121,25583.76,591.52,0.46,EUR,EUR,DEMO Gamma,DG-0048,Portfolio rebalance
2023-06-01T06:40:48+00:00,SELL,BTC,0.029215,26232.09,766.37,0.6,EUR,EUR,DEMO Gamma,DG-0049,Tax-loss harvest
2023-06-03T22:11:24+00:00,SELL,BTC,0.017522,25940.97,454.54,0.86,EUR,EUR,DEMO Gamma,DG-0050,Scheduled sell
2023-06-07T18:42:00+00:00,SELL,BTC,0.031131,25982.69,808.87,0.96,EUR,EUR,DEMO Gamma,DG-0051,Scheduled sell
